living_area,nb_rooms,rent_price
69,3,1810
95,3.5,2945
21,1.5,685
20,1,720
33,1.5,830
13,1,850
17,1,850
27,1,855
32,1,875
26,1.5,890
25,1,890
31,1,900
18,1,900
24,1,900
25,1,920
25,1,930
27,1,950
37,2,955
28,1,960
39,1,970
31,1,980
25,1,980
25,1,980
29,1.5,1000
38,1,1015
16,1,1040
20,1,1060
50,2,1100
37,1.5,1130
33,2,1160
40,1,1200
46,1,1210
45,2,1235
19,1,1250
45,2,1310
56,2,1315
60,2.5,1320
23,1,1350
49,2,1370
51,1.5,1385
48,2,1390
51,1,1400
41,2,1400
47,2,1410
45,2,1410
47,2,1415
37,1.5,1420
52,2,1445
45,2,1450
43,2,1450
26,1.5,1470
49,2,1480
49,2.5,1490
39,1,1530
60,2,1530
65,2.5,1580
60,3,1590
60,3,1590
47,1,1595
57,2,1630
65,2,1640
33,1,1650
56,2.5,1660
69,3,1690
61,2.5,1690
60,3,1690
47,1.5,1700
49,2,1700
60,2.5,1700
72,3,1715
70,2.5,1730
59,2,1750
30,1,1750
39,2,1750
25,1,1780
68,3,1790
63,3,1790
78,2,1790
50,2.5,1800
70,3,1810
75,2.5,1830
60,3,1840
70,3.5,1840
28,1,1850
62,2.5,1860
90,3,1870
78,3.5,1920
80,2,1930
72,3,1940
78,3.5,1950
62,2.5,1980
80,3.5,1990
80,3.5,2000
75,4,2030
68,3,2040
76,3.5,2060
81,3,2080
92,3,2085
75,3,2090
82,3.5,2130
80,3.5,2130
95,4,2145
85,4.5,2160
58,2.5,2160
33,1.5,2170
94,4.5,2190
100,3.5,2250
77,3.5,2270
80,3.5,2270
80,3.5,2290
92,3.5,2320
92,3.5,2335
99,4.5,2335
98,3,2358
90,4.5,2360
96,3,2380
92,4.5,2380
86,4.5,2390
73,3,2400
80,3.5,2400
96,3,2403
72,3.5,2410
91,4,2420
53,2.5,2425
60,2.5,2490
95,3.5,2500
97,4.5,2530
103,4.5,2550
105,5,2550
112,3.5,2550
110,4,2560
107,5,2570
65,1.5,2570
97,4.5,2590
110,4.5,2625
102,4.5,2635
101,4.5,2675
98,3.5,2700
109,4.5,2710
120,5,2710
107,4,2720
125,3.5,2725
120,4.5,2750
108,5,2805
130,5.5,2820
112,4.5,2825
121,4.5,2830
118,4.5,2840
107,4.5,2840
87,3.5,2850
114,4,2850
110,4.5,2870
118,4.5,2875
126,5.5,2900
112,4.5,2915
93,3,2945
80,3.5,2950
116,4.5,3050
145,4,3050
95,4.5,3080
100,3.5,3090
98,3.5,3090
94,4.5,3100
110,4.5,3150
100,4.5,3160
110,2,3180
109,4.5,3220
131,5,3300
133,5,3300
86,2.5,3350
84,3,3400
145,4,3450
113,4.5,3490
130,3.5,3500
108,3,3525
94,4.5,3570
136,4.5,3765
140,4.5,3765
125,3.5,3790
156,5.5,3930
91,3.5,3950
130,4.5,3965
102,4.5,4061
130,4.5,4200
142,5.5,4260
88,3.5,4310
178,6.5,4760
150,4.5,4800
185,5.5,4900
164,6.5,5160
214,5.5,5200
191,6,5229
156,5.5,5250
145,5,5383
175,5,5460
150,4.5,5500
129,5.5,5560
160,4,5775
201,5.5,6200
240,6.5,6700
145,5,7383
